,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9744,Digital,OverDrive,AUDIOBOOK,2018,1,1,My Mommy Hung the Moon (Unabridged),Jamie Lee Curtis,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
9750,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Cibola Burn: The Expanse Series, Book 4 (unabridged) (Unabridged)",James S. A. Corey,"Fiction, Science Fiction","Blackstone Audio, Inc.",2014
9751,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Best of Second City, Volume 1 (Unabridged)",Second City: Chicago's Famed Improv Theatre,"Drama, Fiction, Humor (Fiction)",L.A. Theatre Works,2010
9762,Digital,OverDrive,AUDIOBOOK,2018,1,3,You Belong to Me: A Novel (unabridged) (Unabridged),Colin Harrison,"Fiction, Mystery, Thriller",Macmillan Audio,2017
9766,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Lost in Shangri-La: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II (unabridged) (Unabridged)",Mitchell Zuckoff,"History, Military, Nonfiction",Books on Tape,2011
9773,Digital,OverDrive,AUDIOBOOK,2018,1,1,Classic Tales of Horror (Unabridged),Bram Stoker,"Fiction, Horror, Short Stories",CSA Word,2008
9777,Digital,OverDrive,AUDIOBOOK,2018,1,4,City of Illusions (Unabridged),Ursula K. Le Guin,"Fiction, Science Fiction","Blackstone Audio, Inc.",2010
9788,Digital,OverDrive,AUDIOBOOK,2018,1,1,Foreskin's Lament (Unabridged),Shalom Auslander,"Biography & Autobiography, Judaica, Nonfiction",Books on Tape,2008
9790,Digital,OverDrive,AUDIOBOOK,2018,1,8,"Red Sky at Noon: Moscow Trilogy, Book 3 (unabridged) (Unabridged)",Simon Sebag Montefiore,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2018
9796,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Hero's Guide to Being an Outlaw: The Hero's Guide Series, Book 3 (unabridged) (Unabridged)",Christopher Healy,"Fantasy, Humor (Fiction), Juvenile Fiction",HarperCollins Publishers Inc.,2014
